index,Pais,SKU,Fibra,Espesor,Ancho,Largo,Espesor_Corte,Ancho_Corte,Espesor_Verde,Ancho_Verde,Largo_Verde,M3,PRICE,FECHA PEDIDO,Prod_Aserrio,Prod_Baño,Prod_Secado,Prod_Clasificado,Prod_Cepillado,CVar_Total,CVar_Baño,CVar_Secado,CVar_Clasificado,CVar_Cepillado,Hrs_Baño,Hrs_Secado,Hrs_Clasificado,Hrs_Cepillado,Dias Restantes
0,Japon,C_Grado_A_11.5_213_4900,C,26,102.2,4,23.1,48.1,26,102.2,4000,1500,306,1/30/2023,1.00,1,0,0,0,7.1,7.1,0,0,0,0.03333333333,0,0,0,-16
294,Rema,L_Grado_B_26.0_67.7_2400,L,25,65,2.1,26,67.7,26,67.7,2400,10000,400,1/30/2023,1.08,0,1,1,0,14.2,0,9.3,4.9,0,0,0.4,0.02,0,-16
295,Rema,L_Grado_B_26.0_67.7_2400,L,25,65,2.4,26,67.7,26,67.7,2400,10000,400,1/30/2023,1.08,0,1,1,0,14.2,0,9.3,4.9,0,0,0.4,0.02,0,-16
296,Rema,L_Grado_B_26.0_67.7_2700,L,25,65,2.7,26,67.7,26,67.7,2700,10000,400,1/30/2023,1.08,0,1,1,0,14.2,0,9.3,4.9,0,0,0.4,0.02,0,-16
297,Rema,L_Grado_B_26.0_67.7_3000,L,25,65,3,26,67.7,26,67.7,3000,10000,400,1/30/2023,1.08,0,1,1,0,14.2,0,9.3,4.9,0,0,0.4,0.02,0,-16
298,Rema,L_Grado_B_26.0_67.7_3300,L,25,65,3.2,26,67.7,26,67.7,3300,10000,400,1/30/2023,1.08,0,1,1,0,14.2,0,9.3,4.9,0,0,0.4,0.02,0,-16
299,Rema,L_Grado_B_26.0_67.7_3300,L,25,65,3.3,26,67.7,26,67.7,3300,10000,400,1/30/2023,1.08,0,1,1,0,14.2,0,9.3,4.9,0,0,0.4,0.02,0,-16
300,Rema,L_Grado_B_26.0_67.7_3600,L,25,65,3.6,26,67.7,26,67.7,3600,10000,400,1/30/2023,1.08,0,1,1,0,14.2,0,9.3,4.9,0,0,0.4,0.02,0,-16
301,Rema,L_Grado_B_26.0_67.7_4000,L,25,65,3.96,26,67.7,26,67.7,4000,10000,400,1/30/2023,1.08,0,1,1,0,14.2,0,9.3,4.9,0,0,0.4,0.02,0,-16
302,Rema,L_Grado_B_26.0_67.7_4000,L,25,65,4,26,67.7,26,67.7,4000,10000,400,1/30/2023,1.08,0,1,1,0,14.2,0,9.3,4.9,0,0,0.4,0.02,0,-16
